id,neighbourhood_group,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,rating,bedrooms,beds,baths,crime_count,distance_to_statue_of_liberty,distance_to_times_square,distance_to_central_park,distance_to_empire_state_building,distance_to_brooklyn_bridge,distance_to_rockefeller_center,distance_to_one_world_trade_center,distance_to_broadway,distance_to_grand_central_terminal,distance_to_the_metropolitan_museum_of_art,distance_to_american_museum_of_natural_history,distance_to_9/11_memorial_and_museum,distance_to_fifth_avenue,distance_to_chrysler_building,distance_to_the_high_line
45277537,Manhattan,40.76661,-73.9881,Entire home/apt,144.0,30,9,2023-05-01,0.24,139,364,2,4.67,2,1,1.0,31809,9.827984916270017,0.8934857290249246,2.6470623624174685,1.991250416875607,6.7703494145768826,1.181540107751153,6.3573003249011375,0.8985199905869542,1.7949251977027265,2.532845183810726,2.0221331232905517,6.4871954546544295,2.1290579530483336,1.9815890202650022,2.5011738193970485
3857863,Manhattan,40.8356,-73.9425,Private room,120.0,30,156,2023-09-17,1.38,2,363,12,4.64,1,1,1.0,31809,18.40203703373459,9.253253681921889,6.021013975558431,10.304323387531813,15.111449416067432,9.072702936760178,14.908180992527853,9.22010084670373,9.667801553697004,6.484498929963686,6.591436485960132,15.034450651378483,6.972310075447162,9.734669308227993,11.06223548845
49584983,Manhattan,40.75995,-73.99296,Entire home/apt,115.0,30,5,2023-07-29,0.16,139,276,2,5.0,1,1,1.0,31809,8.981839131468728,0.6698182441096626,3.48318576932126,1.391037411041006,5.998429840104395,1.210745138405834,5.524099840200843,0.7224894230128543,1.549484694214375,3.3102192526100507,2.863758480501507,5.655107414661383,2.8712601142089946,1.7496498977264585,1.6603040564800606
45847112,Manhattan,40.76519,-73.99013,Entire home/apt,130.0,30,10,2023-05-30,0.26,139,295,2,4.5,2,2,1.0,31809,9.60735981593481,0.8167860132444741,2.8775913394051,1.863173121084371,6.596510762809015,1.202215203460425,6.152185624837875,0.8361514299811563,1.7611108772083282,2.7632545443588477,2.2508125878430763,6.282864934189711,2.354215199288149,1.9555030069937258,2.2751547145779605
45938560,Brooklyn,40.71265,-73.96539,Private room,106.0,30,8,2023-09-15,0.22,1,15,5,5.0,1,1,1.0,39821,7.158829982332211,5.404599910802936,8.058762498328317,4.36164907875426,2.7514803846061127,5.245767892113716,4.045000491024038,5.400002859485157,4.566535120621292,7.428575701440525,7.670474246884193,4.046782652053346,6.9765109279709465,4.416655772730108,5.143068565813541
367810,Brooklyn,40.73626,-73.95634,Private room,180.0,30,11,2023-04-19,0.12,1,3,1,5.0,2,1,1.0,39821,9.085322318563696,3.4953292264003957,5.522176403502668,2.8204406818135794,4.787520103261839,3.1285911652121174,5.472206700355847,3.4664184570005405,2.5395181462948493,4.836151230711812,5.226706273409563,5.53918666821281,4.421014069363048,2.3416998017597477,4.2830956585836475
47942202,Brooklyn,40.68693,-73.87378,Private room,38.0,30,4,2023-09-01,0.12,7,285,2,4.5,1,1,1.0,39821,14.396859155754838,12.332435064535794,13.510704713716706,11.65733912044407,10.592975653518828,11.912066202776005,12.113510614369922,12.298619352368403,11.381297697594343,12.752699506529432,13.470621698521093,12.08146913545579,12.516275694767888,11.180770389632524,12.960087935392611
881361770950607277,Queens,40.75713694266302,-73.81348864217891,Private room,121.0,30,3,2023-06-12,0.39,3,364,3,4.67,0,3,1.0,29765,20.8801985432772,14.458196372440456,13.400970414207503,14.512588072509391,16.461085946861516,13.914260648523216,17.55084263369031,14.402946855515513,13.800752623765108,12.852988410695987,13.781115335575109,17.58999799932643,12.972879118200497,13.644227107812211,16.143967900318
1126944,Brooklyn,40.63866,-73.9715,Entire home/apt,109.0,30,3,2023-09-02,0.03,1,0,1,4.67,3,5,3.0,39821,8.339962945474664,13.418918813905606,16.284639012621962,12.30505597020493,7.79661110910035,13.365976469604785,8.962806919441649,13.427027609983941,12.692753287183864,15.669148628206477,15.864899080009817,8.836263495294878,15.211834428417243,12.568244572551373,12.476442324116354
48867046,Manhattan,40.7338,-73.98532,Entire home/apt,80.0,30,8,2023-08-04,0.27,30,17,2,5.0,0,1,1.0,31809,7.030300344787031,2.790593782123834,5.8810043674094095,1.66983900301277,3.231577343414675,2.829152560630944,3.327941254830393,2.804245361519505,2.2121121796888965,5.404545158673498,5.369933689176012,3.426116345814951,4.913020868983188,2.1567238545367813,2.274603396769418
43197566,Staten Island,40.64557,-74.08443,Entire home/apt,160.0,30,48,2023-09-04,1.49,3,364,10,4.73,2,4,1.0,6409,5.909984034882224,15.12818587937468,18.344112557161978,14.193777704004292,9.990595885539287,15.421825436585324,9.575177633494164,15.16957548532771,14.954717935991972,18.052747470618403,17.734457193176553,9.468296545198353,17.568258773774822,14.958673898709632,13.221669164296383
702005190750685766,Bronx,40.85532,-73.88953,Entire home/apt,191.0,30,40,2023-09-04,2.45,3,365,29,4.45,2,2,1.0,32248,22.612260757629148,13.405190279908844,10.24210360275922,14.331852469946895,18.895413488215077,13.100484846935974,18.975851650251418,13.361767630274013,13.587782709718782,10.472628406789868,10.87253418195124,19.09102139620243,10.954801428650482,13.601855241401239,15.378808333466303
762599172570463796,Queens,40.736906,-73.861374,Entire home/apt,60.0,30,12,2023-07-16,0.94,1,203,11,4.58,0,2,1.0,29765,16.31920791081308,10.708122244680105,10.477920440378863,10.534692547875068,11.92141329582841,10.175253498927121,13.08836836044646,10.65709761848826,9.917340690386244,9.797222694521102,10.693906179797553,13.117213851740402,9.76887094535535,9.737622036191981,12.142900658327774
564552665997526321,Queens,40.73279,-73.87233,Private room,70.0,31,52,2023-06-12,2.32,4,90,8,4.42,1,1,1.0,29765,15.29821550131886,9.936065611437092,9.956833772132184,9.69362115763436,10.907201157685352,9.41194148658863,12.093944091572855,9.886821300097024,9.111168303694711,9.248982145407291,10.121316219203296,12.119955842146185,9.176329176645236,8.925778997502423,11.284826345244154
28838614,Queens,40.72122,-73.75003,Entire home/apt,88.0,30,63,2023-09-30,0.99,1,297,2,4.81,1,2,1.0,29765,25.075542121714037,20.24535962604525,19.70849006709144,20.069755726070913,20.871954822892683,19.709879359709216,22.215098243051138,20.19376671747409,19.460327157320084,19.091482279954338,20.014101558776655,22.221324665178148,19.13509244681037,19.28022298995741,21.668548214542973
52553133,Manhattan,40.76301,-73.97743,Entire home/apt,174.0,1,25,2023-01-16,1.11,44,0,1,3.84,1,1,1.0,31809,9.960875244069076,0.7936280023733595,2.5732247321658623,1.7159587863047754,6.538030011557131,0.486225137637374,6.357530972130326,0.7412822492170829,1.1436539392162792,2.1825574890919213,2.056947820057738,6.478886461234395,1.6977280454114756,1.2755009086363458,2.844202042460445
52553514,Manhattan,40.76314,-73.97703,Entire home/apt,179.0,1,26,2023-01-02,0.96,44,0,0,4.27,1,1,1.0,31809,9.991920191009818,0.8295241770099169,2.5495033587998965,1.7426642772199972,6.560529229698463,0.5084734087529463,6.38633610949479,0.7769560055142511,1.1581052650013497,2.1521177852062032,2.0381307642154787,6.507459446393102,1.6664006029673433,1.2855866387152513,2.8799722172731843
52553544,Manhattan,40.76344,-73.97524,Entire home/apt,172.0,1,38,2023-01-22,1.41,44,0,1,4.21,1,1,1.0,31809,10.105721661802226,0.9742344864784841,2.477692629235181,1.838552829133375,6.632626431669207,0.5973085841190835,6.488973911407859,0.9203912621090649,1.2030637463879015,2.0456178082951957,1.9914028782530377,6.608907245706886,1.5557902269213357,1.3107794370488182,3.0223923119525975
50504090,Brooklyn,40.65823,-73.95602,Private room,50.0,30,70,2023-06-24,2.38,2,0,3,4.61,1,1,1.0,39821,8.22052780870226,11.459321824934529,14.144116792414758,10.373377171873356,6.338653290313065,11.338152302026483,7.754677682649127,11.460077855111495,10.658481367496421,13.491347295761482,13.770936395356149,7.6473403590317615,13.052876474452141,10.514557092248143,10.793770756580722
15158194,Manhattan,40.83501,-73.93934,Entire home/apt,84.0,75,10,2023-08-14,0.12,16,363,1,4.4,1,1,1.0,31809,18.47019818574961,9.299885697083525,6.061768465269409,10.339770237199888,15.132023241306065,9.10426746057971,14.95704893142058,9.265399811674817,9.689572741635017,6.498697657635876,6.643786836463473,15.082307772935756,6.988951952554004,9.751085328416673,11.133687780398501
602019372802508438,Bronx,40.859352,-73.864983,Private room,45.0,30,17,2023-09-11,0.8,8,0,4,4.94,1,1,1.0,32248,24.21329469613966,15.067282966948975,11.989318231029843,15.932361110171302,20.3405629767499,14.7213343123127,20.539314261947943,15.02066673124811,15.159921202168494,12.138093718874714,12.625948975840977,20.64875193728765,12.605581627707497,15.154094307353818,17.080749390628867
9725508,Brooklyn,40.68812,-73.9854,Entire home/apt,95.0,30,25,2023-09-28,0.27,17,241,5,4.76,0,2,1.0,39821,4.984761205846013,7.869965019498891,10.878679059877253,6.74919887507484,2.2192278502172584,7.873015463853224,3.6138790961834375,7.883107457360579,7.216787339770477,10.324168922885109,10.408321304273127,3.510502189094964,9.845991853299976,7.115419290528716,6.854566990714485
831167886889726935,Brooklyn,40.69679,-73.91672,Private room,40.0,30,13,2023-09-23,1.29,5,205,13,5.0,1,1,1.0,39821,10.805839533577089,8.99564675928396,10.73676979799302,8.184964214362854,6.834666159518847,8.643281257303919,8.338925007244624,8.970072648680564,8.042776319740504,9.990959583705678,10.565745800038918,8.310536424649834,9.662926977355983,7.848130102760184,9.352346734207213
41567947,Brooklyn,40.70541,-73.92392,Entire home/apt,100.0,30,18,2023-09-30,0.42,1,359,2,5.0,0,2,1.0,39821,10.32320434909328,7.872203395318041,9.616151335634946,7.0824076939536065,6.149158289883509,7.513340584416576,7.584625621528214,7.845698228596468,6.918059232305957,8.873098456249185,9.436439812036863,7.570873633219057,8.538299028280683,6.722469777947842,8.296328884766012
648686501635596386,Brooklyn,40.67985,-73.90589,Entire home/apt,145.0,30,26,2023-09-11,1.38,1,355,12,4.69,3,3,1.0,39821,11.73441076397684,11.038650331527105,12.828990516641486,10.185740236227824,8.20605224237016,10.704037530213885,9.772377468496366,11.015403308439584,10.090360587198136,12.082224799204988,12.658610397050003,9.721497607743556,11.756125584722433,9.898334470999828,11.263090260113595
836471236610126498,Brooklyn,40.6864157,-73.9095853,Entire home/apt,182.0,30,16,2023-09-27,1.74,1,165,16,4.81,2,2,1.0,39821,11.380003130094423,10.270560157749609,12.035348682369476,9.434089800383724,7.676273825398757,9.9284380669894,9.22687256085954,10.246348570575574,9.320136043472573,11.28846392436008,11.866706398948981,9.183928965656335,10.962979980507281,9.126980310634341,10.546392217102827
17434977,Brooklyn,40.7208,-73.94238,Entire home/apt,89.0,30,17,2023-09-07,0.21,8,174,5,4.76,0,2,1.0,39821,9.295844508590337,5.5602711940638985,7.474440009841831,4.78132796327647,4.874872913876133,5.210351058702723,6.050719885277524,5.53433245274558,4.606916076503156,6.752857232863198,7.237503924357536,6.072455797417336,6.3784674407461255,4.412176401025822,6.063901113802325
700850368069608837,Brooklyn,40.6915,-73.9123,Private room,150.0,30,40,2023-08-11,2.49,9,365,24,4.6,1,1,1.5,39821,11.149144420532588,9.686476344314118,11.425898675754656,8.865705208464762,7.311101406877134,9.337361920153297,8.842323096788741,9.661368762375544,8.734362954683348,10.678775287289206,11.259376835684611,8.806354007229409,10.354230900787101,8.540200010370935,10.009062650258828
46695446,Brooklyn,40.68648,-73.9155,Private room,45.0,30,3,2023-04-01,0.08,19,310,1,4.33,1,1,1.5,39821,10.881288758113838,9.963490250971342,11.832653969753018,9.098288051426415,7.197532791470038,9.638631729767551,8.753053572931933,9.941302611753143,9.018023157992662,11.091593981863404,11.64077220034553,8.707892133311832,10.751115877474993,8.827476707122843,10.167581920357755
857967724039296308,Manhattan,40.80277949637711,-73.95851182329305,Private room,40.0,30,3,2023-06-09,0.33,5,365,3,3.0,1,1,1.0,31809,14.554970496139322,5.369703253812516,2.1320070970041223,6.414136552052816,11.22665159908702,5.18287804767741,11.02693908152999,5.335148128178258,5.784533012399157,2.625961781506822,2.7183044204591673,11.152087965739902,3.1039101026075233,5.858454584916126,7.230633854635199
53494944,Brooklyn,40.68972,-73.91105,Private room,91.0,30,51,2023-09-02,1.99,2,90,22,4.78,1,1,1.0,39821,11.251993706219112,9.906495765200152,11.649684661680789,9.081487416870734,7.45978382095243,9.55905386324664,8.99831720889768,9.881611230903273,8.954773965289984,10.902379430353106,11.483603338135266,8.959930187699854,10.578286546533837,8.760852686299662,10.215755899582318
896536679580590826,Brooklyn,40.71806,-73.95905,Private room,100.0,30,5,2023-09-25,0.75,2,165,5,5.0,1,1,1.0,39821,7.883639504637214,5.044457833651068,7.493992137737139,4.078769012013914,3.4540985697870994,4.8161024218447475,4.617189380090981,5.032125480969249,4.147848912788606,6.8339494409477295,7.146294852724356,4.636639951343949,6.398991894195586,3.978609047506559,5.0905730861275025
53364824,Manhattan,40.77255,-73.94665,Entire home/apt,229.0,30,7,2023-07-16,0.28,1,186,3,5.0,1,1,1.0,31809,12.400945878562018,3.5787089422012657,2.294157020627472,4.198955896061934,8.515671095780572,3.1035127243036706,8.708238791332002,3.5231206836009443,3.3899520764524538,1.5933813487397634,2.5001618400375305,8.813772937279841,1.6294181051724483,3.3506234367700514,5.60482946876241
53340040,Brooklyn,40.70662,-73.94778,Entire home/apt,130.0,30,3,2023-07-07,0.16,1,309,1,5.0,1,1,1.0,39821,8.379693601993694,6.61007323897828,8.894919232541467,5.663925307434879,4.137846507823154,6.353247225759745,5.57123511435585,6.595148719099093,5.695723485037781,8.201019782881259,8.59512376196896,5.555883674879045,7.793503419925295,5.518617092666596,6.649869161221653
18359018,Manhattan,40.78118,-73.95306,Entire home/apt,100.0,30,11,2023-01-12,0.16,139,365,1,4.64,0,1,1.0,31809,12.800748673322637,3.6651730098381194,1.353634604410266,4.5145211406306744,9.129179345324323,3.298299443870947,9.150634437671007,3.615805130239305,3.7621044110526287,0.8791128450827265,1.762163876525389,9.265411990864294,1.2390047894271385,3.7804749323480813,5.7078767755368895
37002006,Brooklyn,40.71147,-73.94896,Entire home/apt,270.0,30,89,2023-08-27,1.67,1,41,28,4.94,1,1,1.0,39821,8.424761371793409,6.090784298487882,8.346577820437986,5.1660768158762576,4.081948560124267,5.821978599034737,5.431673795255186,6.074358375618127,5.168988612756931,7.65278380872796,8.048480886809665,5.429630846661968,7.245153618152592,4.989319286589689,6.21313486902654
859283264753786335,Manhattan,40.78155,-73.9564,Entire home/apt,318.0,30,10,2023-07-18,1.1,2,125,10,4.8,3,3,2.0,31809,12.666670571707762,3.4926959922000207,1.0753378472530772,4.384542600917193,9.057210038739084,3.1545973535748066,9.03224483543202,3.4452288044405344,3.6536994419845388,0.6223142172439883,1.4810796316963477,9.149132326413248,1.0360585543234144,3.686293954600595,5.523993170607905
762913725556641417,Queens,40.70495,-73.75051,Entire home/apt,100.0,30,21,2023-04-23,1.59,2,364,19,4.81,1,2,1.0,29765,24.846226904695765,20.659164904245902,20.395891108131895,20.387850521486616,20.766469584256267,20.134097750984644,22.174273849491883,20.609826350961885,19.829165651470518,19.743559462898382,20.65385911175733,22.169271380463993,19.744183300765915,19.64173903468075,21.953314684155153
707396,Manhattan,40.72544,-73.9805,Private room,499.0,30,140,2023-09-05,1.03,1,180,7,4.87,2,3,1.0,31809,6.730563145907483,3.7405311745666365,6.712212802425787,2.6323550195048537,2.5560713218053275,3.705985301076653,3.1101534308624714,3.747893462346913,3.0465548573737835,6.177631043589526,6.238180134407761,3.1748744522440933,5.693733607844032,2.9472467850188484,3.235388916829731
